4171671	35884
760335	35458
2129211	34122
315224	32911
3102298	25735
2439677	24878
231081	24667
562324	24632
274022	22143
1527458	21986
486080	20535
1065697	20453
1542918	20432
2041961	18944
4354899	17848
1194863	17651
178094	17016
1614285	16906
2602299	16580
3151023	15012
868408	14890
3731656	14732
1337068	14551
426518	14479
3452230	14325
3655722	12850
830825	12468
4269476	12162
1380585	11328
2792810	7790
383775	6198
4323568	6128
2401078	5945
1949628	5109
115865	3649
4145916	731
3178427	470
3780915	368
4119	347
315226	346
1961135	346
2940997	312
2719135	289
412345	235
4182316	111
486084	94
2415540	94
3521045	86
561714	83
1170253	70
3162583	62
3731660	60
1059047	57
3033472	56
3414232	54
3396194	53
2360330	50
37342	48
528011	45
2129192	45
1523001	45
1089398	42
3776047	39
2015880	35
991144	32
1180328	29
1544100	28
999937	27
843956	27
1707205	26
4267800	23
2760896	22
598303	20
2955678	19
3936819	16
3404052	16
1098309	15
1072544	15
2122177	11
1755373	11
878246	9
3846857	9
3743849	9
2617270	9
2485514	8
2445923	8
1701688	8
1480360	8
4037987	7
3715258	7
3009923	7
2195293	7
670832	6
3715462	6
3541464	6
1701496	6
3880230	5
2941000	5
2550411	5
1880994	5
863204	4
80328	4
4177537	4
4038898	4
3903496	4
3829257	4
2922339	4
2612634	4
257847	4
2527615	4
2307678	4
2258759	4
1839331	4
1533281	4
1339142	4
1023741	4
3911492	3
3883203	3
3827301	3
3719017	3
367338	3
3661068	3
2891376	3
2782225	3
2525251	3
223427	3
2213962	3
2102091	3
2084046	3
2048364	3
1970226	3
1598361	3
1378175	3
1354715	3
852235	2
821240	2
81636	2
473030	2
4343509	2
4178875	2
4165288	2
4122	2
4080373	2
365549	2
3150846	2
2857983	2
2217380	2
2214028	2
1728753	2
1689457	2
1586557	2
1572668	2
1412697	2
1269339	2
10827	2
1037091	2
1027769	2
915926	1
769424	1
718684	1
702034	1
525829	1
452822	1
430041	1
4293640	1
3954146	1
3941689	1
3939606	1
3896739	1
3886523	1
3859576	1
375875	1
375033	1
3634894	1
3535205	1
3513262	1
3284727	1
3235894	1
3102524	1
308811	1
3042179	1
2758306	1
2724453	1
2617328	1
2575914	1
2575482	1
2439387	1
2381470	1
222053	1
2196352	1
2137718	1
2095133	1
2084699	1
2084696	1
2041579	1
192973	1
1763214	1
1721344	1
171909	1
1633799	1
1556963	1
1523005	1
140137	1
1385112	1
1292244	1
1288683	1
1141806	1
1072532	1
1054817	1
